Date,City,State,AQI,AQI_Category,PM2.5,PM10,NO2,SO2,CO,O3,NH3,Max_Temperature_C,Min_Temperature_C,Avg_Temperature_C,Humidity_Percent,Rainfall_mm,Wind_Speed_kmh,Wind_Direction,Atmospheric_Pressure_hPa,Visibility_km,Month,Season
2015-02-25,Delhi,Delhi,200,Moderate,82,137,62,33,3.82,59,37,14.7,4.6,9.7,82.0,0.0,7.9,S,997.53,11.4,2,Winter
2015-02-26,Delhi,Delhi,253,Poor,97,140,66,56,5.18,91,46,16.6,5.1,10.9,53.1,0.0,4.6,SW,1026.22,12.3,2,Winter
2015-02-27,Delhi,Delhi,274,Poor,86,144,72,53,5.49,90,40,15.0,3.0,9.0,59.1,0.0,13.3,SE,996.89,11.4,2,Winter
2015-02-28,Delhi,Delhi,238,Poor,86,140,76,49,4.69,58,41,17.2,5.5,11.3,55.8,0.0,5.5,NE,995.39,12.3,2,Winter
2015-03-01,Delhi,Delhi,147,Moderate,54,73,37,31,2.91,48,13,16.2,3.4,9.8,80.5,1.32,9.2,SE,1003.08,12.1,3,Spring
2015-03-02,Delhi,Delhi,156,Moderate,58,107,34,25,2.95,60,30,18.2,8.8,13.5,60.2,0.0,8.0,S,1020.91,11.1,3,Spring
2015-03-03,Delhi,Delhi,226,Poor,86,121,61,41,4.94,52,28,20.7,9.3,15.0,52.6,0.0,10.6,N,1010.21,15.0,3,Spring
2015-03-04,Delhi,Delhi,155,Moderate,46,79,50,33,3.71,53,21,17.1,3.8,10.4,62.4,0.0,7.5,NE,1013.05,10.8,3,Spring
2015-03-05,Delhi,Delhi,218,Poor,100,133,61,43,4.69,59,40,17.1,8.6,12.8,64.9,0.0,11.2,S,1007.34,9.3,3,Spring
2015-03-06,Delhi,Delhi,144,Moderate,63,104,38,24,2.58,52,18,20.7,11.5,16.1,89.0,0.0,10.9,NE,1017.0,8.9,3,Spring
2015-03-07,Delhi,Delhi,152,Moderate,56,85,55,34,3.38,47,17,22.2,11.1,16.6,49.7,0.0,8.0,E,1020.48,6.2,3,Spring
2015-03-08,Delhi,Delhi,139,Moderate,74,67,37,33,2.63,33,15,17.6,4.6,11.1,64.4,0.0,10.7,E,1026.94,12.0,3,Spring
2015-03-09,Delhi,Delhi,174,Moderate,75,101,63,38,2.94,65,20,25.1,14.0,19.6,74.2,0.0,11.8,NW,1033.72,10.0,3,Spring
2015-03-10,Delhi,Delhi,131,Moderate,30,78,48,27,2.97,47,13,25.2,10.8,18.0,50.6,0.0,12.3,SE,1017.56,8.1,3,Spring
2015-03-11,Delhi,Delhi,165,Moderate,68,84,41,36,3.57,62,28,26.7,14.3,20.5,74.5,0.0,10.0,NE,1012.11,5.6,3,Spring
2015-03-12,Delhi,Delhi,180,Moderate,71,102,36,40,3.63,69,23,24.1,14.3,19.2,66.7,0.0,6.8,NW,1001.4,12.9,3,Spring
2015-03-13,Delhi,Delhi,205,Poor,92,109,61,33,3.9,66,32,21.7,7.2,14.4,71.8,0.0,11.3,SE,1005.49,12.2,3,Spring
2015-03-14,Delhi,Delhi,164,Moderate,60,88,52,21,3.42,63,14,28.2,18.1,23.2,55.6,0.0,5.3,NW,1017.68,10.3,3,Spring
2015-03-15,Delhi,Delhi,170,Moderate,62,109,62,38,3.97,72,25,21.1,9.1,15.1,65.3,0.0,3.7,NW,1014.12,9.9,3,Spring
2015-03-16,Delhi,Delhi,180,Moderate,76,81,51,41,4.0,55,20,24.4,14.9,19.6,63.7,0.0,15.4,NE,1017.86,11.0,3,Spring
2015-03-17,Delhi,Delhi,132,Moderate,49,79,22,19,2.54,14,11,28.3,15.6,22.0,77.9,0.0,9.3,N,1004.46,10.4,3,Spring
2015-03-18,Delhi,Delhi,207,Poor,96,114,49,34,5.27,68,34,19.3,8.6,13.9,66.1,0.0,7.2,E,1015.61,6.8,3,Spring
2015-03-19,Delhi,Delhi,175,Moderate,70,127,56,42,2.88,48,22,23.7,15.4,19.6,63.9,0.0,6.8,NW,1002.84,9.2,3,Spring
2015-03-20,Delhi,Delhi,143,Moderate,51,69,40,27,2.26,36,18,27.6,14.5,21.1,68.4,0.0,4.3,NE,1001.94,7.4,3,Spring
2015-03-21,Delhi,Delhi,105,Moderate,44,90,29,17,2.85,61,19,29.5,20.3,24.9,63.4,0.0,6.5,SW,1010.54,12.3,3,Spring
2015-03-22,Delhi,Delhi,140,Moderate,45,69,48,27,2.98,49,28,24.2,9.7,16.9,58.0,0.0,8.0,N,1002.62,8.3,3,Spring
2015-03-23,Delhi,Delhi,194,Moderate,78,110,61,47,3.93,91,39,30.2,19.3,24.8,63.1,0.0,13.6,N,1022.98,9.4,3,Spring
2015-03-24,Delhi,Delhi,196,Moderate,69,133,68,44,3.26,70,22,26.5,16.8,21.7,48.8,0.0,3.3,NW,1014.24,9.4,3,Spring
2015-03-25,Delhi,Delhi,269,Poor,116,155,82,49,5.01,103,42,29.3,21.3,25.3,57.0,0.0,8.8,E,1007.04,5.0,3,Spring
2015-03-26,Delhi,Delhi,145,Moderate,77,94,37,34,2.89,41,26,28.3,19.6,24.0,78.6,0.0,6.5,SE,1007.9,9.9,3,Spring
2015-03-27,Delhi,Delhi,203,Poor,55,115,62,37,4.66,75,22,20.7,12.2,16.5,70.1,0.0,9.9,SE,1022.91,11.5,3,Spring
2015-03-28,Delhi,Delhi,216,Poor,102,137,69,41,3.4,89,30,32.3,18.6,25.5,80.8,0.0,10.3,NE,1024.02,9.4,3,Spring
2015-03-29,Delhi,Delhi,132,Moderate,49,84,33,30,2.75,36,27,32.8,22.7,27.7,75.1,0.0,12.5,SW,1022.43,9.4,3,Spring
2015-03-30,Delhi,Delhi,202,Poor,79,120,83,40,4.23,60,26,30.0,15.1,22.5,65.9,0.0,7.7,NW,1014.1,9.7,3,Spring
2015-03-31,Delhi,Delhi,166,Moderate,63,93,48,34,3.57,44,30,30.0,18.9,24.5,74.2,0.0,7.2,W,1013.03,7.8,3,Spring
2015-04-01,Delhi,Delhi,130,Moderate,64,69,38,21,3.11,44,14,30.0,18.9,24.5,61.1,0.0,5.9,W,1005.98,13.0,4,Spring
2015-04-02,Delhi,Delhi,150,Moderate,55,91,47,30,2.96,57,7,31.7,19.1,25.4,66.0,0.0,12.1,S,1008.96,9.8,4,Spring
2015-04-03,Delhi,Delhi,109,Moderate,47,70,41,19,1.62,23,17,34.1,21.4,27.8,57.3,0.0,11.7,W,1019.45,8.2,4,Spring
2015-04-04,Delhi,Delhi,144,Moderate,50,104,46,34,4.11,34,25,32.0,18.9,25.5,62.5,0.0,5.8,NW,986.0,8.4,4,Spring
2015-04-05,Delhi,Delhi,101,Moderate,51,60,42,27,2.23,34,7,28.3,14.0,21.1,79.5,0.0,6.2,S,1005.66,11.5,4,Spring
2015-04-06,Delhi,Delhi,191,Moderate,93,120,58,37,3.42,66,27,23.8,10.3,17.0,60.2,0.0,7.6,SW,1007.82,7.8,4,Spring
2015-04-07,Delhi,Delhi,188,Moderate,80,135,67,41,4.16,97,33,30.0,20.3,25.1,77.4,0.0,1.7,SE,1022.54,12.0,4,Spring
2015-04-08,Delhi,Delhi,146,Moderate,56,63,57,36,2.19,44,18,31.2,22.0,26.6,92.3,0.0,9.5,E,1015.41,9.2,4,Spring
2015-04-09,Delhi,Delhi,181,Moderate,75,115,58,37,3.39,64,26,33.1,24.8,29.0,60.7,0.0,8.8,NE,1015.37,4.6,4,Spring
2015-04-10,Delhi,Delhi,228,Poor,90,134,60,58,4.12,104,32,30.2,21.2,25.7,52.0,0.0,7.4,W,1020.5,8.8,4,Spring
2015-04-11,Delhi,Delhi,159,Moderate,75,75,58,36,2.69,72,28,31.9,19.7,25.8,62.9,0.0,4.4,W,1015.69,9.3,4,Spring
2015-04-12,Delhi,Delhi,172,Moderate,69,101,54,34,3.55,36,25,32.3,23.0,27.6,74.7,0.0,4.0,NE,1029.96,11.3,4,Spring
2015-04-13,Delhi,Delhi,199,Moderate,76,104,61,46,3.92,81,24,36.0,27.2,31.6,68.6,0.0,2.9,W,1004.21,7.5,4,Spring
2015-04-14,Delhi,Delhi,137,Moderate,57,104,44,31,2.55,50,9,33.2,19.6,26.4,70.5,0.0,5.9,W,1014.67,9.8,4,Spring
2015-04-15,Delhi,Delhi,215,Poor,95,112,69,44,4.05,93,24,33.4,23.6,28.5,61.9,0.0,3.3,S,993.11,12.0,4,Spring
2015-04-16,Delhi,Delhi,246,Poor,104,150,84,46,4.62,107,31,32.5,21.6,27.0,59.4,0.0,5.9,NE,1005.7,8.4,4,Spring
2015-04-17,Delhi,Delhi,194,Moderate,84,109,49,37,3.4,65,35,36.2,26.9,31.6,62.5,0.0,8.0,NW,1025.53,7.9,4,Spring
2015-04-18,Delhi,Delhi,136,Moderate,54,83,31,29,2.73,54,23,36.0,24.5,30.3,41.2,3.36,9.8,SW,1004.88,10.8,4,Spring
2015-04-19,Delhi,Delhi,142,Moderate,55,88,30,27,2.67,46,29,36.5,26.6,31.5,58.5,0.0,4.6,S,1017.53,11.7,4,Spring
2015-04-20,Delhi,Delhi,197,Moderate,82,148,52,45,2.76,54,33,39.7,28.8,34.2,65.7,0.0,8.1,NE,1030.5,9.2,4,Spring
2015-04-21,Delhi,Delhi,186,Moderate,84,119,64,33,5.22,61,32,37.7,23.4,30.6,49.1,0.0,10.4,NW,1021.79,7.8,4,Spring
2015-04-22,Delhi,Delhi,161,Moderate,57,55,58,21,3.92,69,26,34.7,23.4,29.1,85.8,0.0,11.1,SE,1010.7,11.2,4,Spring
2015-04-23,Delhi,Delhi,240,Poor,104,135,74,42,4.58,78,33,43.1,29.7,36.4,56.7,0.0,3.3,SE,1029.93,1.1,4,Spring
2015-04-24,Delhi,Delhi,176,Moderate,74,108,53,36,3.54,68,32,34.3,19.4,26.9,70.4,0.0,13.9,W,1024.78,7.9,4,Spring
2015-04-25,Delhi,Delhi,144,Moderate,45,89,31,21,2.14,58,19,34.4,20.4,27.4,56.8,0.0,5.8,NE,1029.67,8.1,4,Spring
2015-04-26,Delhi,Delhi,159,Moderate,66,96,57,28,3.15,70,26,41.6,30.2,35.9,65.9,0.0,7.5,E,1003.56,5.0,4,Spring
2015-04-27,Delhi,Delhi,159,Moderate,53,91,53,30,2.76,53,18,37.1,28.6,32.8,68.8,0.0,8.0,SW,1014.09,7.3,4,Spring
2015-04-28,Delhi,Delhi,145,Moderate,60,78,58,25,3.75,46,16,38.4,25.8,32.1,58.1,0.0,4.5,N,1005.48,7.4,4,Spring
2015-04-29,Delhi,Delhi,130,Moderate,44,92,24,41,2.51,13,20,39.4,30.4,34.9,63.6,0.0,8.9,N,1025.61,6.2,4,Spring
2015-04-30,Delhi,Delhi,156,Moderate,69,97,45,31,2.75,63,20,36.8,28.8,32.8,49.1,0.0,10.3,NE,1017.8,10.4,4,Spring
2015-05-01,Delhi,Delhi,209,Poor,85,161,72,38,4.37,72,37,39.7,30.4,35.0,57.2,0.0,0.0,W,1021.42,4.0,5,Spring
2015-05-02,Delhi,Delhi,169,Moderate,62,83,66,38,2.7,48,15,36.0,23.8,29.9,67.9,0.0,7.1,S,1006.52,8.6,5,Spring
2015-05-03,Delhi,Delhi,184,Moderate,54,124,49,29,3.56,69,22,39.0,27.4,33.2,65.8,0.0,8.1,E,1017.88,10.3,5,Spring
2015-05-04,Delhi,Delhi,199,Moderate,88,120,45,50,4.0,50,26,38.8,27.3,33.0,76.3,0.0,5.4,W,1013.51,2.3,5,Spring
2015-05-05,Delhi,Delhi,180,Moderate,76,105,46,43,3.39,58,29,38.7,29.3,34.0,58.7,0.0,6.4,E,1003.22,10.5,5,Spring
2015-05-06,Delhi,Delhi,135,Moderate,62,75,42,33,3.37,54,17,33.0,22.2,27.6,60.6,0.0,8.8,NE,1013.26,5.9,5,Spring
2015-05-07,Delhi,Delhi,235,Poor,76,143,82,56,5.08,74,45,39.1,28.2,33.6,60.3,0.0,4.4,NW,1025.47,10.0,5,Spring
2015-05-08,Delhi,Delhi,173,Moderate,69,84,46,28,2.18,75,38,40.5,30.9,35.7,71.0,0.0,10.3,SE,1032.18,4.4,5,Spring
2015-05-09,Delhi,Delhi,202,Poor,75,124,63,45,3.91,72,22,38.8,26.9,32.9,71.9,0.0,2.8,S,1008.6,10.4,5,Spring
2015-05-10,Delhi,Delhi,235,Poor,85,155,73,47,4.04,88,29,39.5,28.3,33.9,77.9,0.0,12.7,N,1022.39,6.2,5,Spring
2015-05-11,Delhi,Delhi,159,Moderate,52,75,49,26,3.71,63,11,40.9,32.5,36.7,61.1,0.0,4.8,SW,1013.08,6.9,5,Spring
2015-05-12,Delhi,Delhi,193,Moderate,92,127,62,33,4.94,54,24,43.6,31.1,37.3,66.9,0.0,5.4,NE,1019.87,3.8,5,Spring
2015-05-13,Delhi,Delhi,244,Poor,97,119,85,51,4.92,90,42,44.6,34.1,39.4,81.4,0.0,6.2,SW,1022.04,1.8,5,Spring
2015-05-14,Delhi,Delhi,160,Moderate,62,101,49,28,2.83,49,25,40.9,27.9,34.4,67.8,0.0,2.3,E,1014.63,6.2,5,Spring
2015-05-15,Delhi,Delhi,192,Moderate,94,127,39,28,3.49,62,40,45.9,33.7,39.8,77.2,0.0,7.4,NW,1008.79,5.5,5,Spring
2015-05-16,Delhi,Delhi,113,Moderate,53,63,36,23,2.29,56,22,37.7,26.3,32.0,65.7,0.0,4.3,S,1023.21,7.3,5,Spring
2015-05-17,Delhi,Delhi,140,Moderate,53,82,29,25,2.27,43,15,41.7,32.9,37.3,56.1,0.0,11.4,N,1020.94,6.0,5,Spring
2015-05-18,Delhi,Delhi,174,Moderate,63,111,40,33,2.58,68,20,42.5,30.0,36.3,54.7,0.0,5.1,N,997.1,6.5,5,Spring
2015-05-19,Delhi,Delhi,219,Poor,89,133,72,44,5.1,68,42,36.8,27.9,32.3,44.6,0.0,4.5,NW,1023.49,5.9,5,Spring
2015-05-20,Delhi,Delhi,189,Moderate,72,120,57,41,2.85,82,21,43.0,31.7,37.3,49.5,0.0,13.3,W,1005.94,7.1,5,Spring
2015-05-21,Delhi,Delhi,196,Moderate,84,97,61,37,4.61,72,27,38.7,25.6,32.1,74.3,0.0,15.6,SW,1021.55,7.0,5,Spring
2015-05-22,Delhi,Delhi,206,Poor,59,101,61,44,4.82,71,39,41.2,31.8,36.5,69.1,0.0,8.5,S,1020.13,7.6,5,Spring
2015-05-23,Delhi,Delhi,208,Poor,77,139,42,32,3.93,85,23,43.2,31.7,37.4,52.1,0.0,5.1,NW,1027.87,8.5,5,Spring
2015-05-24,Delhi,Delhi,142,Moderate,68,81,40,35,2.47,44,16,43.1,29.9,36.5,48.4,0.0,2.9,W,1023.57,4.6,5,Spring
2015-05-25,Delhi,Delhi,259,Poor,115,148,66,56,4.47,120,47,39.7,31.4,35.6,68.9,0.0,6.8,S,1013.23,6.3,5,Spring
2015-05-26,Delhi,Delhi,97,Satisfactory,46,76,49,16,1.34,41,21,43.0,31.9,37.4,59.0,0.0,11.8,SW,1004.93,6.9,5,Spring
2015-05-27,Delhi,Delhi,184,Moderate,77,112,44,32,3.89,45,29,47.4,36.7,42.0,66.7,0.0,8.7,N,1017.67,5.2,5,Spring
2015-05-28,Delhi,Delhi,127,Moderate,26,72,35,15,2.18,43,23,42.5,33.2,37.8,72.1,0.0,10.3,SW,1012.13,7.1,5,Spring
2015-05-29,Delhi,Delhi,213,Poor,81,139,53,44,3.74,69,39,47.7,37.8,42.7,76.4,0.0,8.6,N,1008.4,4.2,5,Spring
2015-05-30,Delhi,Delhi,105,Moderate,34,66,35,19,2.9,60,22,49.3,36.7,43.0,73.6,0.0,9.5,W,1002.55,5.7,5,Spring
2015-05-31,Delhi,Delhi,156,Moderate,48,103,46,32,2.95,46,26,44.7,33.2,39.0,76.3,0.0,12.9,N,1004.99,4.2,5,Spring
2015-06-01,Delhi,Delhi,149,Moderate,65,114,58,24,3.21,57,11,43.0,31.9,37.5,82.3,0.0,4.5,SW,1011.21,5.3,6,Monsoon
2015-06-02,Delhi,Delhi,104,Moderate,38,72,23,20,1.62,41,20,47.0,37.5,42.2,91.9,0.0,5.6,NE,1011.97,6.7,6,Monsoon
2015-06-03,Delhi,Delhi,165,Moderate,80,89,57,31,3.48,50,27,44.9,31.8,38.4,87.8,0.0,7.3,NE,1008.53,5.6,6,Monsoon
2015-06-04,Delhi,Delhi,137,Moderate,61,79,47,25,2.3,51,26,45.4,30.5,37.9,82.4,0.0,3.2,SW,1030.14,5.2,6,Monsoon
2015-06-05,Delhi,Delhi,224,Poor,90,108,70,40,4.36,81,24,39.5,28.1,33.8,78.1,0.0,7.9,SE,1020.07,10.1,6,Monsoon
2015-06-06,Delhi,Delhi,119,Moderate,57,66,41,15,2.4,34,22,42.8,30.2,36.5,87.5,1.7,7.5,E,1011.37,4.9,6,Monsoon
2015-06-07,Delhi,Delhi,146,Moderate,63,98,47,24,3.47,58,18,45.9,36.6,41.2,64.2,0.0,7.9,E,1000.65,2.3,6,Monsoon
2015-06-08,Delhi,Delhi,185,Moderate,70,111,57,35,3.01,76,28,43.2,33.0,38.1,84.2,0.0,4.9,NE,1018.35,5.5,6,Monsoon
2015-06-09,Delhi,Delhi,178,Moderate,79,124,54,38,4.06,50,30,46.5,31.9,39.2,85.4,5.04,7.8,NW,1013.0,5.8,6,Monsoon
2015-06-10,Delhi,Delhi,202,Poor,86,124,61,38,4.01,89,32,40.8,27.3,34.1,80.2,0.0,2.1,W,1025.25,6.9,6,Monsoon
2015-06-11,Delhi,Delhi,205,Poor,74,98,63,42,4.3,85,30,44.2,34.2,39.2,85.3,0.0,5.2,SE,1015.38,2.9,6,Monsoon
2015-06-12,Delhi,Delhi,177,Moderate,73,101,48,39,3.96,32,28,45.0,32.7,38.9,78.7,0.0,9.4,SE,1020.2,4.5,6,Monsoon
2015-06-13,Delhi,Delhi,134,Moderate,49,95,40,24,2.59,72,18,48.0,34.9,41.4,87.3,16.8,10.4,NW,1027.73,4.6,6,Monsoon
2015-06-14,Delhi,Delhi,115,Moderate,53,40,44,26,2.26,49,21,39.5,26.2,32.9,80.5,0.0,6.9,SE,1002.03,4.6,6,Monsoon
2015-06-15,Delhi,Delhi,146,Moderate,61,95,51,32,2.5,34,11,42.8,31.5,37.2,60.3,0.0,11.9,SW,1009.71,7.4,6,Monsoon
2015-06-16,Delhi,Delhi,133,Moderate,47,99,33,29,3.12,58,17,41.0,27.8,34.4,69.3,0.0,9.7,S,1012.09,6.6,6,Monsoon
2015-06-17,Delhi,Delhi,222,Poor,87,117,74,44,4.47,59,27,46.1,33.8,40.0,87.8,0.0,3.6,NW,1005.79,4.4,6,Monsoon
